backend,model,module_dir,candidate_file,reference_file,reference_top,candidate_top,reference_precheck,candidate_precheck,interface_status,formal_status,proof_type,reason_bucket,reason,interface_reason_kind,interface_reason,interface_aliases_applied,counterexample_summary,counterexample_json
yosys,claude,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_qmem_top/or1200_qmem_top_t1.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: dcqmem_dat_o ([dw-1:0] vs [31:0] -> 32 bits); dcqmem_dat_i ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,claude,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_qmem_top/or1200_qmem_top_t2.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,compatible,not_equivalent,bounded_seq,not_equivalent,找到反例，候选设计与参考设计不等价,width_equivalent,normalized width expressions: dcqmem_dat_o ([dw-1:0] vs [31:0] -> 32 bits); dcqmem_dat_i ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,claude,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_qmem_top/or1200_qmem_top_t3.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,incompatible,skip,bounded_seq,interface_mismatch,Interface normalization rejected candidate,missing_extra,"missing ports: dcqmem_ack_i, dcqmem_adr_o, dcqmem_ci_o, dcqmem_cycstb_o, dcqmem_err_i, dcqmem_rty_i, dcqmem_sel_o, dcqmem_tag_i, dcqmem_tag_o, dcqmem_we_o, icqmem_ack_i, icqmem_adr_o, icqmem_ci_o, icqmem_cycstb_o, icqmem_dat_i, icqmem_err_i, icqmem_rty_i, icqmem_sel_o, icqmem_tag_i, icqmem_tag_o, qmemdcpu_ack_o, qmemdcpu_dat_i, qmemdcpu_dat_o, qmemdcpu_rty_o, qmemdcpu_sel_i, qmemdcpu_tag_i, qmemdcpu_we_i, qmemdmmu_adr_i, qmemdmmu_ci_i, qmemdmmu_cycstb_i, qmemdmmu_err_o, qmemdmmu_tag_o, qmemicpu_ack_o, qmemicpu_dat_o, qmemicpu_sel_i, qmemicpu_tag_i, qmemimmu_adr_i, qmemimmu_ci_i, qmemimmu_cycstb_i, qmemimmu_err_o, qmemimmu_rty_o, qmemimmu_tag_o; extra ports: dcqmem_ack_o, dcqmem_adr_i, dcqmem_cycstb_i, dcqmem_err_o, dcqmem_rty_o, dcqmem_sel_i, dcqmem_we_i",[],,
yosys,claude,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_qmem_top/or1200_qmem_top_t4.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,incompatible,skip,bounded_seq,interface_mismatch,Interface normalization rejected candidate,missing_extra,"missing ports: dcqmem_ack_i, dcqmem_adr_o, dcqmem_ci_o, dcqmem_cycstb_o, dcqmem_dat_i, dcqmem_dat_o, dcqmem_err_i, dcqmem_rty_i, dcqmem_sel_o, dcqmem_tag_i, dcqmem_tag_o, dcqmem_we_o, icqmem_ack_i, icqmem_adr_o, icqmem_ci_o, icqmem_cycstb_o, icqmem_dat_i, icqmem_err_i, icqmem_rty_i, icqmem_sel_o, icqmem_tag_i, icqmem_tag_o, qmemdcpu_ack_o, qmemdcpu_dat_i, qmemdcpu_dat_o, qmemdcpu_rty_o, qmemdcpu_sel_i, qmemdcpu_tag_i, qmemdcpu_we_i, qmemdmmu_adr_i, qmemdmmu_ci_i, qmemdmmu_cycstb_i, qmemdmmu_err_o, qmemdmmu_tag_o, qmemicpu_ack_o, qmemicpu_dat_o, qmemicpu_sel_i, qmemicpu_tag_i, qmemimmu_adr_i, qmemimmu_ci_i, qmemimmu_cycstb_i, qmemimmu_err_o, qmemimmu_rty_o, qmemimmu_tag_o; extra ports: addr, data_out, enable",[],,
yosys,claude,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/claude/or1200_qmem_top/or1200_qmem_top_t5.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: dcqmem_dat_o ([dw-1:0] vs [31:0] -> 32 bits); dcqmem_dat_i ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_qmem_top/or1200_qmem_top_t1.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: dcqmem_dat_o ([dw-1:0] vs [31:0] -> 32 bits); dcqmem_dat_i ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_qmem_top/or1200_qmem_top_t2.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: dcqmem_dat_o ([dw-1:0] vs [31:0] -> 32 bits); dcqmem_dat_i ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_qmem_top/or1200_qmem_top_t3.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: dcqmem_dat_o ([dw-1:0] vs [31:0] -> 32 bits); dcqmem_dat_i ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_qmem_top/or1200_qmem_top_t4.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: dcqmem_dat_o ([dw-1:0] vs [31:0] -> 32 bits); dcqmem_dat_i ([dw-1:0] vs [31:0] -> 32 bits),[],,
yosys,codex,or1200_qmem_top,/hpc/home/connect.ytan910/code/LLM/ChipVerilogSuite/Result/codex/or1200_qmem_top/or1200_qmem_top_t5.v,/tmp/or1200_equiv_ref_u4pcn7h7/verilog/or1200_qmem_top.v,or1200_qmem_top,or1200_qmem_top,pass,pass,compatible,equivalent,bounded_seq,equivalent,Bounded proof passed within 8 cycles,width_equivalent,normalized width expressions: dcqmem_dat_o ([dw-1:0] vs [31:0] -> 32 bits); dcqmem_dat_i ([dw-1:0] vs [31:0] -> 32 bits),[],,
